0,1,2,3
18.261475,17.405651,18.312483,20.436394
110.66177,106.430954,108.51614,106.87583
113.95062,108.3235,110.907,106.17981
114.17067,108.34423,110.89104,106.55404
42.25148,33.77303,35.977417,34.707203
110.66312,106.21089,108.13769,106.42951
114.070595,108.34491,110.92711,106.3985
114.13494,108.36668,110.89502,106.56318
37.482445,30.706238,32.017845,30.255928
111.77828,106.75655,109.3396,105.782074
114.118385,108.38725,110.87539,106.68703
113.991005,108.38164,110.99222,106.139786
30.356512,28.2099,26.011866,26.277863
113.781586,108.02281,110.5192,106.43469
114.108116,108.3951,110.87091,106.60249
114.077324,108.35447,110.94957,106.34078
62.0714,59.64422,64.48177,63.0421
113.57865,108.19318,110.51129,107.05061
113.98479,108.37265,110.96856,106.167786
114.1667,108.34407,110.89311,106.55342
98.11516,92.372604,94.555336,96.237816
113.55658,108.20409,110.466125,106.853455
114.08649,108.34785,110.943245,106.32866
114.155525,108.35397,110.88646,106.5161
92.390884,91.18918,91.235275,94.21921
113.63314,108.103226,110.65142,106.182976
114.13046,108.37313,110.89518,106.64034
113.986725,108.392006,111.00035,106.13596
89.736664,88.27554,88.73711,92.60658
114.05049,108.28575,110.85509,106.42956
114.14066,108.37146,110.88318,106.55086
114.062775,108.36577,110.96039,106.33961
101.576126,97.7861,102.3692,101.17354
114.018936,108.38481,110.839355,106.85227
113.98951,108.37921,110.98859,106.16214
114.18398,108.327515,110.88787,106.53918
111.90867,106.16241,108.52884,105.614746
114.00389,108.40037,110.825195,106.724556
114.06851,108.3609,110.96032,106.35256
114.169525,108.34676,110.884254,106.4907
