0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.9290888,0.9998542,0.93722904,0.9999298,0.9922536,-0.7567876,0.8849024,-0.9991322,-0.48286057,-0.94517887,-0.859997,0.99829036,-0.99999756,-0.9999999
0.9999353,0.4652868,0.99996895,0.9919213,0.8923105,0.64356834,0.4120882,-0.9999995,0.9976217,-0.9771367,-0.98178595,0.98181856,-0.36267155,-0.9999999
1.0,0.9743706,-0.99789906,0.9984065,1.0,0.9989106,1.0,-0.99925,0.9999997,-0.77883023,0.99549663,-0.99999565,-1.0,-1.0
1.0,1.0,0.9999345,0.9891153,-0.99999565,0.999959,1.0,-0.99980986,0.9848755,-1.0,0.9860985,1.0,1.0,-1.0
1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
1.0,1.0,1.0,-0.93121403,-1.0,0.99999994,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,0.99999946,1.0,-1.0,-1.0,-0.9999784,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.99999005,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
