0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.009989442,-0.009996879,-0.009996097,-0.009998716,-0.009999296,-0.009995829,0.009935051,-0.009994689,0.009992999,-0.009996482,-0.009998966,-0.009995918,0.0099966265,0.009855676
0.009990068,-0.0099960435,-0.009997428,-0.009999031,-0.00999875,-0.009993927,0.009928629,-0.009994959,0.009988522,-0.009995647,-0.009998097,-0.009997173,0.00999645,0.00988401
0.01,-0.009999983,-0.009999987,-0.009999998,-0.009999999,-0.009999982,0.009999994,-0.009999977,0.01,-0.009999988,-0.009999998,-0.009999981,0.01,0.01
0.01,-0.009999968,-0.009999989,-0.009999998,-0.01,-0.009999981,0.009999994,-0.00999997,0.01,-0.009999988,-0.009999999,-0.009999981,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0095542865,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.009733265,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.009949986,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.009982848,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.009981873,-0.009994814,-0.0099950535,-0.009998197,-0.0099982815,-0.009989342,0.0098790815,-0.009992816,0.009975832,-0.009995513,-0.009997841,-0.009994779,0.009992604,0.009778314
0.009990703,-0.0099968,-0.009996551,-0.009998531,-0.009998614,-0.009993778,0.0099227335,-0.009992405,0.009990294,-0.009994443,-0.009998528,-0.009995999,0.009996191,0.009905834
0.01,-0.009999992,-0.009999994,-0.01,-0.01,-0.009999994,0.009999998,-0.009999991,0.01,-0.009999994,-0.01,-0.009999992,0.01,0.01
0.01,-0.009999996,-0.009999996,-0.01,-0.01,-0.0099999895,0.009999998,-0.0099999895,0.01,-0.009999993,-0.01,-0.009999992,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,-0.01,0.01,-0.01,-0.01,-0.01,0.01,0.01
